"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"529",492,"492_1","SE",NA,"Stora Lindessjön",59.5873509429369,15.231272873325,61,108.23,3.2,8,59.5846355740078,15.2226476457662
"530",493,"493_1","SE",NA,"Stora Lulevatten",67.0304012629902,19.7817187744936,372.1,16159.99,NA,28,67.1548578740412,19.4120297325679
"531",494,"494_1","SE",NA,"Stora Nätaren",57.8161565938078,14.5301714755933,252.3,743.93,4.2,16.7,57.8015797689304,14.5580440897489
"532",495,"495_1","SE",NA,"Stora Raijan",64.6206700774127,15.3762492877417,366.1,564.83,3.9,14.8,64.6343883099011,15.382318698023
"533",496,"496_1","SE",NA,"Stora Rängen",58.2757827115246,15.7361678558659,84.9,1086.2,4.9,27,58.2618628573878,15.7063479682892
"534",497,"497_1","SE",NA,"Stora Ransaren",65.1770400834609,15.0738358668019,594.3,2809.8,21.1,59.7,65.2421015492111,15.0097597031843
"535",498,"498_1","SE",NA,"Stora Sjougden",64.5351278715667,15.0852589994246,452.5,3021.92,9.2,33,64.5728147522009,15.0108962187362
"536",499,"499_1","SE",NA,"Stora Skeppträsket",65.1856668649028,18.9197974629239,309.4,1136.27,NA,32.1,65.210855577788,18.8200073983177
"537",500,"500_1","SE",NA,"Stora Tjulträsket",65.9619101657597,16.0678841756723,542,521.17,21.2,38,65.9599012484781,16.0014758480852
"538",501,"501_1","SE",NA,"Stora Vällan",60.5762753880847,15.5858763801952,180.1,245.6,2.4,8,60.5889546581615,15.5637086800149
"539",502,"502_1","SE",NA,"Storavan",65.6740109892637,18.1433096446834,420.3,18227.67,7.1,21,65.7175640954017,18.2468468117245
"540",15,"15_2","SE",NA,"Stor-Blåsjön Lilla Blåsjön-Delen",64.7515810898079,14.1876055619904,448.7,928.54,NA,72,64.8559023622579,14.2244444474845
"541",15,"15_3","SE",NA,"Stor-Blåsjön Stora Blåsjön-Delen",64.7961791954345,14.1638889147667,448.7,928.54,NA,72,64.8559023622579,14.2244444474845
"542",503,"503_1","SE",NA,"Stor-Burvattnet",63.9773088667254,13.3361349968973,564.1,1121.58,NA,NA,64.0062394125619,13.3217277090481
"543",504,"504_1","SE",NA,"Stordammen",60.1949403045352,17.9152701527103,40.1,340.45,1.6,3.2,60.2030510563331,17.9521048933435
"544",505,"505_1","SE",NA,"Stor-Degersjön",63.2197138407372,18.0392994839131,243.7,1249.35,14.6,41,63.1811741585819,18.0805470743862
"545",506,"506_1","SE",NA,"Stor-Flaten (Stora Flate",60.6500173609793,14.4252015132839,292.9,1129.81,NA,NA,60.6750550330081,14.434478222665
"546",240,"240_2","SE",NA,"Stor-Jorm",64.6283284402082,14.1094115621422,346.2,2385.97,NA,NA,64.6313028216485,14.091813023521
"547",507,"507_1","SE",NA,"Storjuktan",65.3209862685738,17.3313372104607,409.6,5487.95,8.1,32.4,65.4173046497871,17.0970732252077
"548",508,"508_1","SE",NA,"Stor-Laisan Stor-Laisan-Delen",65.7390956342196,15.3383247609694,454,1297.35,NA,36,65.7431233009512,15.2543012414221
"549",509,"509_1","SE",NA,"Stor-Mjölkvattnet",63.8500990037229,13.3769986995401,552.2,1383.03,NA,NA,63.901974237358,13.3432761668542
"550",510,"510_1","SE",NA,"Stornien",61.5991004842773,16.7663723657863,164.7,514.35,NA,22,61.5983583215499,16.6804385920715
"551",511,"511_1","SE",NA,"Stor-Rensjön",63.6740171471654,12.4380352227312,502.2,4837.75,NA,140,63.6319051174699,12.5634526963735
"552",512,"512_1","SE",NA,"Storselsjön",63.7459919611155,18.1316143589304,330.1,66.21,2.6,10,63.756762082926,18.1147606145915
"553",513,"513_1","SE",NA,"Storsjön",60.6121488354924,16.9054578374064,62.4,7026.09,3.7,15,60.5742925910136,16.7561571949021
"554",514,"514_1","SE",NA,"Storsjön",61.9419482805012,17.1663195518201,42.2,1271.19,5.8,32,61.9524190752496,17.1337200339002
"555",515,"515_1","SE",NA,"Storsjön",62.7844687028798,13.245872993106,566.4,2749.89,NA,27,62.8004277909995,13.1312770133328
"556",516,"516_1","SE",NA,"Storsjön",62.8792104819235,14.4685333328719,293.4,45344.52,NA,74,63.1372389110734,14.3495772560945
"557",517,"517_1","SE",NA,"Storsjön",63.5546987888173,17.2535062165864,238.5,1778.6,NA,NA,63.5441258448453,17.1926754837283
"558",516,"516_2","SE",NA,"Storsjön Åssjön",63.2277668137144,14.5121250528125,293.4,45344.52,NA,74,63.1372389110734,14.3495772560945
"559",516,"516_3","SE",NA,"Storsjön Brunfloviken",63.1446509264091,14.6546760271493,293.4,45344.52,NA,74,63.1372389110734,14.3495772560945
"560",516,"516_4","SE",NA,"Storsjön Flaket",63.1919461743006,14.3349098202223,293.4,45344.52,NA,74,63.1372389110734,14.3495772560945
"561",518,"518_1","SE",NA,"Stor-Skälsjön",62.8193966087564,16.8535818071473,260.2,1036.08,5.3,21,62.7989097855126,16.9296412721
"562",519,"519_1","SE",NA,"Stortjärn",63.9569260473738,15.9263819021378,301.6,42.96,NA,NA,63.9597466482313,15.9186043778486
"563",520,"520_1","SE",NA,"Storuman",65.0945766538147,17.1006976657859,351.8,16890.16,NA,135,65.2354964819763,16.7789018163986
"564",521,"521_1","SE",NA,"Storvindeln",65.6368574269558,17.4506493958801,341.9,5180.94,11.7,35.9,65.7182938599863,17.1405500172451
"565",522,"522_1","SE",NA,"Ströms Vattudal",63.9258794309037,15.4584683260387,286.9,2053.93,NA,55.6,64.3001552936449,15.011821538329
"566",522,"522_2","SE",NA,"Ströms Vattudal Torsfjärden",64.3274068709176,14.9571025013902,286.9,2053.93,NA,55.6,64.3001552936449,15.011821538329
"567",523,"523_1","SE",NA,"Suddesjaure",65.9071882375314,19.1243060472689,337.4,315.67,NA,NA,65.8981992618481,19.1119403112772
"568",524,"524_1","SE",NA,"Suijajärvi",68.2138286313673,22.7580118970951,348.6,79.52,3.4,10.5,68.2074251283608,22.7645379008679
"569",525,"525_1","SE",NA,"Sundsjön",57.4887979936913,12.2403352693966,15.2,80.36,7,18.5,57.4897705805948,12.2602853438569
"570",522,"522_3","SE",NA,"Svaningssjön",64.2409318620138,15.1490049693819,286.9,2053.93,NA,55.6,64.3001552936449,15.011821538329
"571",526,"526_1","SE",NA,"Svärdsjön",60.7433372620385,15.921709022658,138.1,533.61,4.2,17.5,60.7626992919898,15.9185435284203
