lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
370,370_1,SE,,Örken,57.09206388462814,15.017880719961187,188.2,2328.08,7.4,38.0,57.1375217302783,15.006221114631222
371,371_1,SE,,Ormsjön,64.33932492521659,16.112374191674483,266.4,2724.76,7.8,26.6,64.38910104450305,16.04078369555235
372,372_1,SE,,Orrmosjön,61.83742912282328,14.117491377263207,433.4,886.33,,,61.807978329673674,14.134086752137762
373,373_1,SE,,Orsasjön,61.01546591782703,14.578008095212336,162.1,5187.0,,97.0,61.082051639944595,14.552510347904974
374,374_1,SE,,Orsjön Södra Delen,61.56549226092478,16.350773670586992,113.9,3004.01,,17.0,61.61198657822643,16.308877323107307
374,374_2,SE,,Orsjön Tevsjön-Delen,61.65571405655949,16.210818151015406,113.9,3004.01,,17.0,61.61198657822643,16.308877323107307
375,375_1,SE,,Orten,62.256548951497855,13.83070787557431,401.1,320.7,,23.0,62.27744006686686,13.814295159532108
376,376_1,SE,,Orten Ulften,62.41851577310939,13.078358582894795,494.8,209.34,6.4,19.0,62.40814299238169,13.080379576119508
377,377_1,SE,,Örträsksjön,64.10797133426804,19.017946036326997,171.0,721.11,22.3,59.5,64.14356590380471,18.957725231628125
378,378_1,SE,,Osbysjön,56.348025036142886,13.997952557154766,71.7,483.59,,5.8,56.35285939842815,13.985839869874749
379,379_1,SE,,Öster-Noren (Ö Norn),63.43599725720947,12.789888895010268,398.3,469.2,9.0,19.7,63.45173895654907,12.781805967910381
380,380_1,SE,,Östersjön,59.58215635751549,14.265654230454226,128.1,904.9,,16.8,59.60373293412997,14.283796546356607
381,381_1,SE,,Östersjön,59.68847836083075,16.19556344646402,55.4,121.32,,,59.69688130822913,16.196710025931363
382,382_1,SE,,Östra Lägern,57.84289250934339,15.207810082862931,197.9,1526.52,,,57.82461302669127,15.161476067383493
383,383_1,SE,,Östra Öresjön,57.463682245951716,12.681992546007534,58.3,782.29,,17.0,57.44202431296498,12.671138059637963
384,384_1,SE,,Östra Ringsjön,55.87356306193404,13.498992758634305,54.2,2462.69,6.2,16.4,55.868565777248264,13.549970867791513
385,385_1,SE,,Östra Verbosjön,65.34521348600875,18.212479294681884,387.4,300.68,,,65.35534930416544,18.18931175286452
386,386_1,SE,,Ottsjön,63.19162542571078,13.13661037321203,494.5,1537.18,10.3,31.0,63.20789853803605,13.04680247565201
387,387_1,SE,,Ottsjön,63.70729173520571,14.950043957177334,311.1,753.33,8.9,35.0,63.728231018170845,14.869176473552443
388,388_1,SE,,Över-Röversjön (Röversjö,62.89438203169641,13.232943861455876,643.4,102.05,,,62.89829505090168,13.213035242667642
389,389_1,SE,,Överstjuktan,65.69968749109492,16.25657918231311,491.7,2298.46,20.3,51.0,65.76310869842183,16.173082174885025
390,390_1,SE,,Överuman Delen Strimasund-Utloppet,66.02294770649607,15.011269973192327,524.4,8451.52,20.5,78.8,66.07115441746903,14.8181840285882
390,390_2,SE,,Överuman Stora Umevattnet,66.10141995511655,14.654991241581413,524.4,8451.52,20.5,78.8,66.07115441746903,14.8181840285882
391,391_1,SE,,Övre Åsunden,57.67099113296819,13.273793840469084,164.6,3256.47,8.4,39.5,57.70107186995953,13.346130881362708
392,392_1,SE,,Övre Boksjön,65.60567846394157,15.938062576112575,474.9,1078.88,24.3,67.0,65.65151997089714,15.850001800045291
393,393_1,SE,,Övre Fryken,59.87024033127206,13.145192925364354,62.5,4165.13,,93.0,60.00116458978259,13.10672564824063
159,159_2,SE,,Övre Hedesundafjärden,60.345433364745354,17.052960937883604,51.9,2983.6,,1.0,60.30835554759971,16.992493998776045
394,394_1,SE,,Övre Jovattnet,65.72499828925591,14.706203111240768,486.7,480.26,,,65.72073822306322,14.653492121667904
395,395_1,SE,,Pålkemjaure,66.36299923809659,21.62369438351937,242.9,173.58,,,66.37332965633219,21.60509573653121
396,396_1,SE,,Parkijaure,66.74480651748313,19.20480161151207,297.1,2094.93,,34.0,66.75264759620539,19.123289268674476
